Species
Anguilla anguilla
Aequorea forskalea
Squilla mantis
Pagurus alatus
Alcyonium acaule
Plesionika acanthonotus
Leptoderma macrops
Protomyctophum arcticum
Alopias superciliosus
Hippocampus guttulatus
Epigonus constanciae
Dysomma brevirostre
Centrophorus granulosus
Carapus acus
Etmopterus princeps
Naucrates ductor
Mugil cephalus
Symphodus roissali
Heptranchias perlo
Torpedo torpedo
Plesionika edwardsii
Spicara smaris
Spratelloides lewisi
Grunowia sinuata
Benthocometes robustus
Calappa granulata
Plesionika gigliolii
Lestidiops jayakari
Benthosema glaciale
Ocenebra erinaceus
Polyacanthonotus rissoanus
Macropodia longirostris
Buccinum undatum
Bathytoshia centroura
Anomia ephippium
Nezumia bairdii
Charonia lampas
Dardanus arrosor
Pisa armata
Bathyraja brachyurops
Muraena helena
Lampanyctus intricarius
Setarches guentheri
Dorhynchus thomsoni
Howella brodiei
Lappanella fasciata
Pomatoschistus microps
Dentex dentex
Trichiurus lepturus
Penaeus kerathurus
Plesionika ensis
Trachyscorpia cristulata
Nerophis lumbriciformis
Centroscyllium fabricii
Serranus scriba
Limanda limanda
Palaemon longirostris
Nerophis ophidion
Spinolambrus macrochelos
Ergasticus clouei
Sebastes mentella
Bathypolypus arcticus
Ampulla priamus
Ruvettus pretiosus
Sciaena umbra
Plectorhinchus mediterraneus
Coris julis
Oblada melanurus
Diaphus adenomus
