Species
Histioteuthis bonnellii
Distolambrus maltzami
Nymphon gracile
Halecium halecinum
Pteraster militaris
Beringius turtoni
Dosima fascicularis
Sabellaria alveolata
Myoxocephalus scorpioides
Sacculina carcini
Dendronotus frondosus
Reteporella grimaldii
Solaster endeca
Troschelia berniciensis
Galathea squamifera
Ensis magnus
Ophiopholis aculeata
Amphiura filiformis
Lactarius lactarius
Panomya norvegica
Zirfaea crispata
Gaidropsarus mediterraneus
Volutopsius norwegicus
Scorpaena porcus
Apristurus microps
Hydrolagus pallidus
Apristurus laurussonii
Alepocephalus agassizii
Coregonus clupeaformis
Belone svetovidovi
Serpula vermicularis
Heterodontus ramalheira
Bathophilus nigerrimus
Arctozenus rissoi
Benthosema glaciale
Rhinonemus cimbrius
Eutriglia gurnardus
Unidentified spp
Trisopterus esmarki
Trigla lucerna
Psetta maxima
Alopias vulpinus
Aspitrigla cuculus
Howella sherborni
Nansenia groenlandica
Scopelogadus beanii
Nansenia oblita
Lampadena speculigera
Magnisudis atlantica
Cryptopsaras couesii
Searsia koefoedi
Chiasmodon niger
Diretmus argenteus
Lycodes esmarkii
Mallotus villosus
Boreogadus saida
Themisto libellula
Maulisia microlepis
Anarhichas denticulatus
Reinhardtius hippoglossoides
Regalecus glesne
Scopelosaurus lepidus
Coregonus lavaretus
Astronesthes niger
Notoscopelus elongatus
Oncorhynchus gorbuscha
Gonatus fabricii
Periphylla periphylla
Cirroteuthis muelleri
Lobianchia gemellarii
Coregonus albula
Symbolophorus veranyi
Melanostomias bartonbeani
Onychoteuthis banksii
Derichthys serpentinus
Diaphus effulgens
Meganyctiphanes norvegica
Diaphus rafinesquii
Gonostoma denudatum
Bolinichthys supralateralis
Cetorhinus maximus
Alepisaurus ferox
Lampanyctus intricarius
Normichthys operosus
Holtbyrnia macrops
Sebastes marinus
Delphinus delphis
Anotopterus pharao
Alepisaurus brevirostris
Chlamys islandica
Poromitra crassiceps
Lycodes eudipleurostictus
Sabinea septemcarinata
Macroparalepis affinis
Themisto abyssorum
Thysanoessa inermis
Thysanoessa longicaudata
Paraliparis bathybius
Themisto compressa
Hyperoche medusarum
Nematobrachion boopis
Conocara salmoneum
Maulisia argipalla
Notolychnus valdiviae
Melanolagus bericoides
Helicocranchia pfefferi
Leucobrotula adipata
Parabrotula plagiophthalma
Rhodichthys regina
Poromitra megalops
Chauliodus danae
Eurypharynx pelecanoides
Melamphaes microps
Melamphaes suborbitalis
Sigmops bathyphilus
Bolinopsis infundibulum
Nematoscelis megalops
Thysanopoda acutifrons
Serrivomer lanceolatoides
Benthalbella infans
Anoplogaster cornuta
Rondeletia loricata
Stylephorus chordatus
Caulophryne jordani
Linophryne lucifer
Oneirodes eschrichtii
Taaningichthys bathyphilus
Einara edentula
Photostylus pycnopterus
Bathylagichthys greyae
Barbantus curvifrons
Maulisia mauli
Bonapartia pedaliota
Cyclothone braueri
Cyclothone microdon
Cyclothone pseudopallida
Sternoptyx diaphana
Valenciennellus tripunctulatus
Flagellostomias boureei
Neonesthes capensis
Rhadinesthes decimus
Trigonolampa miriceps
Physophora hydrostatica
Chiroteuthis veranii
Teuthowenia megalops
Cycloteuthis sirventi
Galiteuthis armata
Nannobrachium atrum
Nyctiphanes couchii
Phorcosergia grandis
Acanthephyra curtirostris
Acanthephyra stylorostratis
Meningodora vesca
Notostomus robustus
Systellaspis cristata
Systellaspis debilis
Parapasiphae sulcatifrons
Eucopia grimaldii
Eucopia sculpticauda
Eucopia unguiculata
Lestidiops affinis
Scopelarchus analis
Cetostoma regani
Bregmaceros atlanticus
Bolinichthys indicus
Ceratoscopelus warmingii
Diaphus mollis
Diogenichthys atlanticus
Hygophum reinhardtii
Lampanyctus alatus
Lampanyctus photonotus
Lepidophanes guentheri
Taaningichthys paurolychnus
Scopelengys tristis
Microstoma microstoma
Melamphaes longivelis
Scopeloberyx robustus
Margrethia obtusirostra
